scenario,seed,b,c,q,K,G,rounds,partner,model,cooperation_rate,mean_r1,mean_rho,mean_r2,mean_cfe,mean_brier,bonus,trajectory_scalar,parse_failures
19,1,5.452607388317866,4.440050420164343,1.0,6,2,5,tit_for_two_tats,qwen3-8b-base,0.0,0.669293682615242,0.0,0.0,0.3357977925922467,0.03138888888888889,-0.005117719564126292,0.5003712424062936,1
20,0,4.70781104723368,0.5882201555937073,0.5,6,2,5,grim_trigger,qwen3-8b-base,1.0,0.8889318938907167,1.0,0.1699956459542164,0.3115791170235592,0.013611111111111112,-0.025928792926047706,0.897952222747944,0
20,1,4.70781104723368,0.5882201555937073,0.5,6,2,5,grim_trigger,qwen3-8b-base,1.0,0.8889318938907167,1.0,0.1699956459542164,0.3367995062327095,0.04444444444444447,0.012964396463023853,0.893120666021183,0
21,0,3.3750104585148675,1.286190217835292,0.75,4,2,8,grim_trigger,qwen3-8b-base,1.0,0.7240646118582451,1.0,0.29584556898235825,0.2637063856061607,0.0546875,-0.10503028680855236,0.8749282021864541,0
21,1,3.3750104585148675,1.286190217835292,0.75,4,2,8,grim_trigger,qwen3-8b-base,1.0,0.7240646118582451,1.0,0.29584556898235825,0.2819302322866079,0.07906250000000004,-0.10503028680855236,0.8658162788462305,0
22,0,5.212834118176093,3.3512298755891243,0.75,4,2,10,random,qwen3-8b-base,0.0,0.6956565176316336,0.1111111111111111,0.03642880590407445,0.10416950991960246,0.10925000000000003,0.02717174118418324,0.6827177426943252,1
22,1,5.212834118176093,3.3512298755891243,0.75,4,2,10,random,qwen3-8b-base,0.7,0.6043434823683664,1.0,0.3278592531366701,0.09511468660952742,0.053500000000000006,0.05977783060520316,0.8906231752607934,1
23,0,5.439472978989331,1.648833156179425,0.75,6,4,10,always_cooperate,qwen3-8b-base,0.9,0.7906481728831041,0.7777777777777778,0.23121865875212144,0.08260036602818914,0.09211111111111114,0.13220794683084114,0.9937874433042151,1
23,1,5.439472978989331,1.648833156179425,0.75,6,4,10,always_cooperate,qwen3-8b-base,0.0,1.0,-1.0,-0.297281132681299,0.22239329260577403,0.36655777777777787,0.09804184821163489,0.6013264058369775,2
24,0,5.762407736062823,4.171438641400733,0.25,6,3,10,always_defect,qwen3-8b-base,0.0,0.4199217989583851,1.0,0.15515149481292675,0.4017583146889455,0.0348888888888889,-0.028694688706578743,0.3713246675561811,1
24,1,5.762407736062823,4.171438641400733,0.25,6,3,10,always_defect,qwen3-8b-base,0.0,0.4199217989583851,1.0,0.15515149481292675,0.40868615712170664,0.053666666666666675,-0.02202150528644416,0.368528064681814,2
25,0,4.531960009497773,3.5513288125600178,1.0,4,4,10,tit_for_tat,qwen3-8b-base,1.0,0.5606579338265013,1.0,0.43052568700089255,0.045122372995402796,0.0625,0.02173575962116292,0.9707960102918086,0
25,1,4.531960009497773,3.5513288125600178,1.0,4,4,10,tit_for_tat,qwen3-8b-base,1.0,0.5606579338265013,1.0,0.43052568700089255,0.04598367760298437,0.0625,0.020219311275500428,0.9702137131534514,0
26,0,3.028168891345638,2.4476117102029407,0.0,6,3,8,tit_for_two_tats,qwen3-8b-base,1.0,0.5530113625241407,1.0,0.070724597050988,0.0962349006317624,0.17125000000000007,0.02816228634094975,0.5791387950518663,0
26,1,3.028168891345638,2.4476117102029407,0.0,6,3,8,tit_for_two_tats,qwen3-8b-base,0.875,0.6088849422086231,1.0,0.070724597050988,0.07783246438080758,0.09638888888888891,0.03478870665646735,0.6450418954012659,1
27,0,3.240431993229857,0.6416423524229641,0.5,6,4,10,grim_trigger,qwen3-8b-base,1.0,0.8347166243373261,1.0,0.19782102257930964,0.0843741771013338,0.03999999999999998,0.17479645937615926,1.0078302043035845,0
27,1,3.240431993229857,0.6416423524229641,0.5,6,4,10,grim_trigger,qwen3-8b-base,1.0,0.8347166243373261,1.0,0.19782102257930964,0.11162667069740106,0.1690000000000001,0.15806062815929298,0.9925303743838644,0
28,0,3.890053813318353,1.4355980362382872,0.25,4,4,10,always_defect,qwen3-8b-base,0.4,0.16173772639957307,0.3333333333333333,0.041071296993295356,0.30806876523506205,0.025,0.032645259044545315,0.052039166679791936,0
28,1,3.890053813318353,1.4355980362382872,0.25,4,4,10,always_defect,qwen3-8b-base,0.4,0.16173772639957307,0.3333333333333333,0.041071296993295356,0.3019431218011782,0.025,0.04032649646679123,0.05587011213895843,0
29,0,5.884386466346344,4.363264204762649,0.75,4,4,6,tit_for_two_tats,qwen3-8b-base,0.8333333333333334,0.6451817474399347,0.6,0.1870749289642751,0.3763812507532472,0.041666666666666664,0.008246455214213522,0.6454404602299552,1
29,1,5.884386466346344,4.363264204762649,0.75,4,4,6,tit_for_two_tats,qwen3-8b-base,1.0,0.5742180969279217,1.0,0.31179154827379185,0.3352555272407196,0.041666666666666664,0.007215648312436855,0.7195844896334265,0
30,0,5.026767824546855,0.723344554037501,0.75,4,3,8,always_cooperate,qwen3-8b-base,0.0,1.0,-1.0,-0.275091122305114,0.33980944510431643,0.0390625,0.023387712856583504,0.5579276192498007,1
30,1,5.026767824546855,0.723344554037501,0.75,4,3,8,always_cooperate,qwen3-8b-base,1.0,0.8742034057053358,1.0,0.275091122305114,0.3827281986109061,0.021875000000000006,0.12863242071120926,0.9740094812938982,0
31,0,4.362374146307611,1.3218340500741925,0.5,6,2,10,always_defect,qwen3-8b-base,0.1,0.2092904770490333,1.0,0.20727071555918042,0.3172038400982931,0.13411111111111107,0.16938818281734694,0.27489809084080197,0
31,1,4.362374146307611,1.3218340500741925,0.5,6,2,10,always_defect,qwen3-8b-base,0.2,0.18603597959914073,0.7777777777777778,0.16121055654602923,0.3632227526620254,0.24911111111111112,0.17384576657569817,0.18301973647172712,0
32,0,3.5752552240237128,1.7399757313313648,0.5,6,4,9,tit_for_tat,qwen3-8b-base,1.0,0.6726434380845963,1.0,0.22103748925583336,0.42975346461401015,0.012469135802469132,0.03729950822815349,0.682948584836553,0
32,1,3.5752552240237128,1.7399757313313648,0.5,6,4,9,tit_for_tat,qwen3-8b-base,0.0,0.4020947217025812,0.75,0.16577811694187503,0.4918859447067909,0.011358024691358024,-0.0234454051719822,0.3193248212719515,1
33,0,3.012538737836909,2.274880375774049,0.75,4,2,6,always_defect,qwen3-8b-base,0.0,0.4302440050417066,1.0,0.31292810853079905,0.4105242075439706,0.11041666666666666,-0.061036495588506656,0.5277372605357693,1
33,1,3.012538737836909,2.274880375774049,0.75,4,2,6,always_defect,qwen3-8b-base,0.0,0.4302440050417066,1.0,0.31292810853079905,0.3617729831643644,0.018750000000000006,-0.049410496428791105,0.5540505392521917,0
34,0,3.6068335636978155,3.487923503361019,0.5,4,3,5,always_defect,qwen3-8b-base,0.0,0.4916198638506667,1.0,0.23736256063415612,0.18413826209919865,0.25,-0.0048185782858666485,0.6359495777780502,0
34,1,3.6068335636978155,3.487923503361019,0.5,4,3,5,always_defect,qwen3-8b-base,0.0,0.4916198638506667,1.0,0.23736256063415612,0.18342372768117315,0.25,-0.0048185782858666485,0.6363068449870628,0
35,0,4.386132782557465,0.9319775583131403,0.75,4,2,8,always_defect,qwen3-8b-base,0.0,0.17524599878094488,1.0,0.28109224068106087,0.4789415482521859,0.15125000000000002,-0.16237700060952764,0.19657034025972187,1
35,1,4.386132782557465,0.9319775583131403,0.75,4,2,8,always_defect,qwen3-8b-base,0.375,0.10952874923809053,0.14285714285714285,0.0401560343830087,0.45182608621432674,0.125,-0.1319313129952412,-0.09271967361046927,1
36,0,4.151883966673476,0.8209343659135556,0.5,4,3,5,always_defect,qwen3-8b-base,0.2,0.13206746130803892,1.0,0.1758180598976863,0.2578434233968424,0.16299999999999998,-0.06698313467299029,0.165567182572706,0
36,1,4.151883966673476,0.8209343659135556,0.5,4,3,5,always_defect,qwen3-8b-base,0.2,0.13206746130803892,0.5,0.08790902994884316,0.2767291370884538,0.2125,-0.11722048567773298,0.0581678255771086,0
37,0,4.180723744229363,0.7552865055062352,0.75,6,3,7,tit_for_tat,qwen3-8b-base,1.0,0.84698441305978,1.0,0.27262793754752745,0.28217888392109747,0.04413333333333334,0.13631530513062776,0.9979965236654198,0
37,1,4.180723744229363,0.7552865055062352,0.75,6,3,7,tit_for_tat,qwen3-8b-base,0.14285714285714285,0.3731517639658402,0.6666666666666666,0.18175195836501828,0.47857555888343495,0.10111111111111111,-0.028915367754981623,0.3114851760670007,1
